Line (1599) SphygmoCor Log File 9 ~ 04/08/2009 ~ 16:33:10                                                                                                                                                                                      
1 04/08/2009 ~ 16:50:46 ~ SCOR-CvMS 9 Start - FDS 14721300, DBS 40298,  TPM 515564, APM 143960, ML 72   00050                                                                                                                                  
677 03/09/2009 ~ 16:31:14 ~ SCOR-CvMS 9 Start - FDS 76439384, DBS 40764,  TPM 515564, APM 122064, ML 76   00050                                                                                                                                
678 03/09/2009 ~ 16:37:28 ~ SCOR-CvMS 9 End - FDS 76439384, DBS 40764,  TPM 515564, APM 158688, ML 69   00050                                                                                                                                  
679 07/09/2009 ~ 13:44:42 ~ SCOR-CvMS 9 Start - FDS 76370704, DBS 40764,  TPM 515564, APM 155444, ML 69   00050                                                                                                                                
680 07/09/2009 ~ 15:03:05 ~ SCOR-CvMS 9 End - FDS 76346624, DBS 40868,  TPM 515564, APM 150276, ML 70   00050                                                                                                                                  
681 07/09/2009 ~ 15:04:31 ~ SCOR-CvMS 9 Start - FDS 76346648, DBS 40868,  TPM 515564, APM 92048, ML 82   00050                                                                                                                                 
682 07/09/2009 ~ 15:32:52 ~ SCOR-CvMS 9 End - FDS 76346512, DBS 40868,  TPM 515564, APM 118596, ML 76   00050                                                                                                                                  
683 07/09/2009 ~ 15:34:55 ~ SCOR-CvMS 9 Start - FDS 76346512, DBS 40868,  TPM 515564, APM 130420, ML 74   00050                                                                                                                                
684 07/09/2009 ~ 15:39:47 ~ SCOR-CvMS 9 End - FDS 76346456, DBS 40868,  TPM 515564, APM 118500, ML 77   00050                                                                                                                                  
685 07/09/2009 ~ 15:41:01 ~ SCOR-CvMS 9 Start - FDS 76346456, DBS 40868,  TPM 515564, APM 131932, ML 74   00050                                                                                                                                
686 07/09/2009 ~ 15:41:48 ~ SCOR-CvMS 9 End - FDS 76346456, DBS 40868,  TPM 515564, APM 114864, ML 77   00050                                                                                                                                  
687 07/09/2009 ~ 16:35:00 ~ SCOR-CvMS 9 Start - FDS 76342952, DBS 40868,  TPM 515564, APM 83728, ML 83   00050                                                                                                                                 
688 07/09/2009 ~ 16:35:13 ~ SCOR-CvMS 9 End - FDS 76342952, DBS 40868,  TPM 515564, APM 87020, ML 83   00050                                                                                                                                   
689 07/09/2009 ~ 16:36:45 ~ SCOR-CvMS 9 Start - FDS 76342952, DBS 40868,  TPM 515564, APM 98716, ML 80   00050                                                                                                                                 
690 07/09/2009 ~ 16:48:59 ~ SCOR-CvMS 9 End - FDS 76368024, DBS 40868,  TPM 515564, APM 79672, ML 84   00050                                                                                                                                   
691 07/09/2009 ~ 16:50:18 ~ SCOR-CvMS 9 Start - FDS 76367984, DBS 40868,  TPM 515564, APM 99596, ML 80   00050                                                                                                                                 
692 07/09/2009 ~ 16:51:24 ~ SCOR-CvMS 9 End - FDS 76367984, DBS 40868,  TPM 515564, APM 86788, ML 83   00050                                                                                                                                   
693 07/09/2009 ~ 16:53:51 ~ SCOR-CvMS 9 Start - FDS 76367984, DBS 40868,  TPM 515564, APM 98352, ML 80   00050                                                                                                                                 
694 07/09/2009 ~ 16:56:53 ~ SCOR-CvMS 9 End - FDS 76367968, DBS 40868,  TPM 515564, APM 137396, ML 73   00050                                                                                                                                  
695 08/09/2009 ~ 10:52:16 ~ SCOR-CvMS 9 Start - FDS 76211200, DBS 40868,  TPM 515564, APM 75760, ML 85   00050                                                                                                                                 
696 08/09/2009 ~ 11:01:25 ~ SCOR-CvMS 9 End - FDS 76210504, DBS 40868,  TPM 515564, APM 134512, ML 73   00050                                                                                                                                  
697 08/09/2009 ~ 11:03:35 ~ SCOR-CvMS 9 Start - FDS 76210512, DBS 40868,  TPM 515564, APM 138348, ML 73   00050                                                                                                                                
698 08/09/2009 ~ 11:06:29 ~ SCOR-CvMS 9 End - FDS 76210512, DBS 40868,  TPM 515564, APM 115100, ML 77   00050                                                                                                                                  
699 08/09/2009 ~ 11:07:27 ~ SCOR-CvMS 9 Start - FDS 76210512, DBS 40868,  TPM 515564, APM 128972, ML 74   00050                                                                                                                                
700 08/09/2009 ~ 11:07:59 ~ SCOR-CvMS 9 End - FDS 76210504, DBS 40868,  TPM 515564, APM 115520, ML 77   00050                                                                                                                                  
701 08/09/2009 ~ 11:13:16 ~ SCOR-CvMS 9 Start - FDS 76210496, DBS 40868,  TPM 515564, APM 132264, ML 74   00050                                                                                                                                
702 08/09/2009 ~ 11:14:30 ~ SCOR-CvMS 9 End - FDS 76210496, DBS 40868,  TPM 515564, APM 118652, ML 76   00050                                                                                                                                  
703 08/09/2009 ~ 11:20:31 ~ SCOR-CvMS 9 Start - FDS 76210128, DBS 40868,  TPM 515564, APM 131524, ML 74   00050                                                                                                                                
704 08/09/2009 ~ 11:23:38 ~ SCOR-CvMS 9 End - FDS 76210128, DBS 40868,  TPM 515564, APM 117352, ML 77   00050                                                                                                                                  
705 08/09/2009 ~ 11:37:56 ~ SCOR-CvMS 9 Start - FDS 76210112, DBS 40868,  TPM 515564, APM 112100, ML 78   00050                                                                                                                                
706 08/09/2009 ~ 11:41:25 ~ SCOR-CvMS 9 End - FDS 76209752, DBS 40868,  TPM 515564, APM 102900, ML 80   00050                                                                                                                                  
707 08/09/2009 ~ 11:42:04 ~ SCOR-CvMS 9 Start - FDS 76209752, DBS 40868,  TPM 515564, APM 107868, ML 79   00050                                                                                                                                
708 08/09/2009 ~ 11:43:55 ~ SCOR-CvMS 9 End - FDS 76209752, DBS 40868,  TPM 515564, APM 93392, ML 81   00050                                                                                                                                   
709 08/09/2009 ~ 11:52:01 ~ SCOR-CvMS 9 Start - FDS 76209744, DBS 40868,  TPM 515564, APM 105408, ML 79   00050                                                                                                                                
710 08/09/2009 ~ 11:54:17 ~ Error   Validation Error  (#305): Invalid range for calculated PWV .1, 10 Patient :313, PWV Measurement :01/09/2009 3:15:41 PM, DataRevision :130                                                                  
711 08/09/2009 ~ 11:54:39 ~ Error   Validation Error  (#305): Invalid range for calculated PWV .1, 10 Patient :313, PWV Measurement :01/09/2009 3:15:41 PM, DataRevision :130                                                                  
712 08/09/2009 ~ 11:55:41 ~ Error   Validation Error  (#305): Invalid range for calculated PWV .1, 10 Patient :313, PWV Measurement :01/09/2009 3:15:41 PM, DataRevision :130                                                                  
713 08/09/2009 ~ 12:19:57 ~ SCOR-CvMS 9 End - FDS 76209424, DBS 40868,  TPM 515564, APM 71796, ML 86   00050                                                                                                                                   
714 08/09/2009 ~ 16:16:45 ~ SCOR-CvMS 9 Start - FDS 76206408, DBS 40868,  TPM 515564, APM 141424, ML 72   00050                                                                                                                                
715 08/09/2009 ~ 16:18:32 ~ SCOR-CvMS 9 End - FDS 76206400, DBS 40868,  TPM 515564, APM 128892, ML 74   00050                                                                                                                                  
716 08/09/2009 ~ 16:19:45 ~ SCOR-CvMS 9 Start - FDS 76206040, DBS 40868,  TPM 515564, APM 139052, ML 73   00050                                                                                                                                
717 08/09/2009 ~ 16:21:19 ~ SCOR-CvMS 9 End - FDS 76206032, DBS 40872,  TPM 515564, APM 125532, ML 75   00050                                                                                                                                  
718 08/09/2009 ~ 16:36:51 ~ SCOR-CvMS 9 Start - FDS 76206032, DBS 40872,  TPM 515564, APM 96756, ML 81   00050                                                                                                                                 
719 08/09/2009 ~ 16:46:19 ~ Successful PWA measurement for Patient :313, Measurement :08/09/2009 4:46:18 PM, DataRevision :130 , CaptureTime 00:00:13                                                                                          
720 08/09/2009 ~ 17:00:10 ~ SCOR-CvMS 9 End - FDS 76205472, DBS 40872,  TPM 515564, APM 205444, ML 60   00050                                                                                                                                  
721 09/09/2009 ~ 10:02:32 ~ SCOR-CvMS 9 Start - FDS 76200256, DBS 40872,  TPM 515564, APM 147112, ML 71   00050                                                                                                                                
722 09/09/2009 ~ 10:20:57 ~ SCOR-CvMS 9 End - FDS 76199440, DBS 40872,  TPM 515564, APM 100560, ML 80   00050                                                                                                                                  
723 09/09/2009 ~ 10:22:15 ~ SCOR-CvMS 9 Start - FDS 76199440, DBS 40872,  TPM 515564, APM 82052, ML 84   00050                                                                                                                                 
724 09/09/2009 ~ 10:26:06 ~ SCOR-CvMS 9 End - FDS 76199440, DBS 40872,  TPM 515564, APM 94848, ML 81   00050                                                                                                                                   
725 09/09/2009 ~ 10:58:31 ~ SCOR-CvMS 9 Start - FDS 76198976, DBS 40872,  TPM 515564, APM 59640, ML 88   00050                                                                                                                                 
726 09/09/2009 ~ 11:12:36 ~ SCOR-CvMS 9 End - FDS 76198896, DBS 40872,  TPM 515564, APM 142468, ML 72   00050                                                                                                                                  
727 09/09/2009 ~ 11:14:43 ~ SCOR-CvMS 9 Start - FDS 76198896, DBS 40872,  TPM 515564, APM 139448, ML 72   00050                                                                                                                                
728 09/09/2009 ~ 12:08:11 ~ SCOR-CvMS 9 End - FDS 76195808, DBS 40872,  TPM 515564, APM 134776, ML 73   00050                                                                                                                                  
729 09/09/2009 ~ 14:45:13 ~ SCOR-CvMS 9 Start - FDS 76191472, DBS 40872,  TPM 515564, APM 120396, ML 76   00050                                                                                                                                
730 09/09/2009 ~ 14:49:04 ~ SCOR-CvMS 9 End - FDS 76191216, DBS 40872,  TPM 515564, APM 97400, ML 81   00050                                                                                                                                   
731 09/09/2009 ~ 14:51:22 ~ SCOR-CvMS 9 Start - FDS 76191144, DBS 40872,  TPM 515564, APM 114524, ML 77   00050                                                                                                                                
732 09/09/2009 ~ 15:02:15 ~ SCOR-CvMS 9 End - FDS 76183448, DBS 40872,  TPM 515564, APM 135736, ML 73   00050                                                                                                                                  
733 09/09/2009 ~ 15:03:37 ~ SCOR-CvMS 9 Start - FDS 76183424, DBS 40872,  TPM 515564, APM 153612, ML 70   00050                                                                                                                                
734 09/09/2009 ~ 15:04:50 ~ SCOR-CvMS 9 End - FDS 76183424, DBS 40872,  TPM 515564, APM 138380, ML 73   00050                                                                                                                                  
735 09/09/2009 ~ 15:09:44 ~ SCOR-CvMS 9 Start - FDS 76183408, DBS 40872,  TPM 515564, APM 144800, ML 71   00050                                                                                                                                
736 09/09/2009 ~ 15:10:15 ~ SCOR-CvMS 9 End - FDS 76183408, DBS 40872,  TPM 515564, APM 126316, ML 75   00050                                                                                                                                  
737 09/09/2009 ~ 15:11:54 ~ SCOR-CvMS 9 Start - FDS 76183408, DBS 40872,  TPM 515564, APM 141040, ML 72   00050                                                                                                                                
738 09/09/2009 ~ 15:12:44 ~ SCOR-CvMS 9 End - FDS 76183400, DBS 40872,  TPM 515564, APM 125420, ML 75   00050                                                                                                                                  
739 09/09/2009 ~ 15:18:52 ~ SCOR-CvMS 9 Start - FDS 76183328, DBS 40872,  TPM 515564, APM 138816, ML 73   00050                                                                                                                                
740 09/09/2009 ~ 15:23:09 ~ SCOR-CvMS 9 End - FDS 76183312, DBS 40872,  TPM 515564, APM 119536, ML 76   00050                                                                                                                                  
741 09/09/2009 ~ 15:25:39 ~ SCOR-CvMS 9 Start - FDS 76183304, DBS 40872,  TPM 515564, APM 136488, ML 73   00050                                                                                                                                
742 09/09/2009 ~ 15:30:17 ~ SCOR-CvMS 9 End - FDS 76183304, DBS 40872,  TPM 515564, APM 116780, ML 77   00050                                                                                                                                  
743 09/09/2009 ~ 15:31:37 ~ SCOR-CvMS 9 Start - FDS 76183304, DBS 40872,  TPM 515564, APM 134100, ML 73   00050                                                                                                                                
744 09/09/2009 ~ 15:33:25 ~ SCOR-CvMS 9 End - FDS 76182944, DBS 40872,  TPM 515564, APM 113468, ML 77   00050                                                                                                                                  
745 09/09/2009 ~ 16:01:32 ~ SCOR-CvMS 9 Start - FDS 76173096, DBS 40872,  TPM 515564, APM 53780, ML 89   00050                                                                                                                                 
746 09/09/2009 ~ 16:16:13 ~ SCOR-CvMS 9 End - FDS 76173104, DBS 40872,  TPM 515564, APM 204948, ML 60   00050                                                                                                                                  
747 09/09/2009 ~ 16:25:18 ~ SCOR-CvMS 9 Start - FDS 76173104, DBS 40872,  TPM 515564, APM 96328, ML 81   00050                                                                                                                                 
748 09/09/2009 ~ 16:50:39 ~ SCOR-CvMS 9 End - FDS 76173064, DBS 40872,  TPM 515564, APM 191412, ML 62   00050                                                                                                                                  
749 09/09/2009 ~ 16:52:09 ~ SCOR-CvMS 9 Start - FDS 76173056, DBS 40872,  TPM 515564, APM 183688, ML 64   00050                                                                                                                                
750 09/09/2009 ~ 17:00:52 ~ SCOR-CvMS 9 End - FDS 76173016, DBS 40872,  TPM 515564, APM 155628, ML 69   00050                                                                                                                                  
751 10/09/2009 ~ 10:31:33 ~ SCOR-CvMS 9 Start - FDS 76167664, DBS 40872,  TPM 515564, APM 105176, ML 79   00050                                                                                                                                
752 10/09/2009 ~ 10:48:09 ~ SCOR-CvMS 9 End - FDS 76166856, DBS 40872,  TPM 515564, APM 142688, ML 72   00050                                                                                                                                  
753 10/09/2009 ~ 10:49:34 ~ SCOR-CvMS 9 Start - FDS 76166800, DBS 40872,  TPM 515564, APM 148532, ML 71   00050                                                                                                                                
754 10/09/2009 ~ 10:56:37 ~ SCOR-CvMS 9 End - FDS 76166792, DBS 40872,  TPM 515564, APM 125924, ML 75   00050                                                                                                                                  
755 10/09/2009 ~ 10:57:19 ~ SCOR-CvMS 9 Start - FDS 76166792, DBS 40872,  TPM 515564, APM 145720, ML 71   00050                                                                                                                                
756 10/09/2009 ~ 10:58:22 ~ SCOR-CvMS 9 End - FDS 76166792, DBS 40872,  TPM 515564, APM 126924, ML 75   00050                                                                                                                                  
757 10/09/2009 ~ 11:04:18 ~ SCOR-CvMS 9 Start - FDS 76166424, DBS 40872,  TPM 515564, APM 176192, ML 65   00050                                                                                                                                
758 10/09/2009 ~ 11:10:58 ~ SCOR-CvMS 9 End - FDS 76166256, DBS 40872,  TPM 515564, APM 138512, ML 73   00050                                                                                                                                  
759 10/09/2009 ~ 11:13:10 ~ SCOR-CvMS 9 Start - FDS 76166192, DBS 40872,  TPM 515564, APM 158752, ML 69   00050                                                                                                                                
760 10/09/2009 ~ 11:22:55 ~ SCOR-CvMS 9 End - FDS 76166128, DBS 40872,  TPM 515564, APM 138124, ML 73   00050                                                                                                                                  
761 10/09/2009 ~ 11:27:49 ~ SCOR-CvMS 9 Start - FDS 76165712, DBS 40872,  TPM 515564, APM 147244, ML 71   00050                                                                                                                                
762 10/09/2009 ~ 11:43:42 ~ SCOR-CvMS 9 End - FDS 76165120, DBS 40872,  TPM 515564, APM 120048, ML 76   00050                                                                                                                                  
763 10/09/2009 ~ 11:46:33 ~ SCOR-CvMS 9 Start - FDS 76165120, DBS 40872,  TPM 515564, APM 132124, ML 74   00050                                                                                                                                
764 10/09/2009 ~ 11:54:18 ~ SCOR-CvMS 9 End - FDS 76165008, DBS 40872,  TPM 515564, APM 101744, ML 80   00050                                                                                                                                  
765 10/09/2009 ~ 11:55:43 ~ SCOR-CvMS 9 Start - FDS 76165000, DBS 40872,  TPM 515564, APM 104268, ML 79   00050                                                                                                                                
766 10/09/2009 ~ 12:51:59 ~ SCOR-CvMS 9 End - FDS 76164008, DBS 41354,  TPM 515564, APM 247028, ML 52   00050                                                                                                                                  
767 10/09/2009 ~ 14:07:33 ~ SCOR-CvMS 9 Start - FDS 76163264, DBS 41354,  TPM 515564, APM 233488, ML 54   00050                                                                                                                                
768 10/09/2009 ~ 14:21:25 ~ SCOR-CvMS 9 End - FDS 76163152, DBS 41354,  TPM 515564, APM 181608, ML 64   00050                                                                                                                                  
769 10/09/2009 ~ 14:22:25 ~ SCOR-CvMS 9 Start - FDS 76163152, DBS 41354,  TPM 515564, APM 176940, ML 65   00050                                                                                                                                
770 10/09/2009 ~ 14:22:51 ~ SCOR-CvMS 9 End - FDS 76162208, DBS 41354,  TPM 515564, APM 159268, ML 69   00050                                                                                                                                  
771 10/09/2009 ~ 14:26:54 ~ SCOR-CvMS 9 Start - FDS 76161560, DBS 41354,  TPM 515564, APM 164696, ML 68   00050                                                                                                                                
772 10/09/2009 ~ 14:29:35 ~ SCOR-CvMS 9 End - FDS 76161520, DBS 41378,  TPM 515564, APM 144796, ML 71   00050                                                                                                                                  
773 10/09/2009 ~ 14:34:22 ~ SCOR-CvMS 9 Start - FDS 76161472, DBS 41378,  TPM 515564, APM 151764, ML 70   00050                                                                                                                                
774 10/09/2009 ~ 14:40:45 ~ SCOR-CvMS 9 End - FDS 76161456, DBS 41378,  TPM 515564, APM 125272, ML 75   00050                                                                                                                                  
775 10/09/2009 ~ 15:30:08 ~ SCOR-CvMS 9 End - FDS 76160416, DBS 41378,  TPM 515564, APM 169632, ML 67   00050                                                                                                                                  
776 10/09/2009 ~ 15:34:15 ~ SCOR-CvMS 9 Start - FDS 76160288, DBS 41378,  TPM 515564, APM 157628, ML 69   00050                                                                                                                                
777 10/09/2009 ~ 15:41:35 ~ SCOR-CvMS 9 End - FDS 76160288, DBS 41378,  TPM 515564, APM 137736, ML 73   00050                                                                                                                                  
778 10/09/2009 ~ 15:42:36 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76160288, DBS 41378,  TPM 515564, APM 148904, ML 71   00050                                                                                                                     
779 10/09/2009 ~ 15:43:10 ~ Added Patient 330                                                                                                                                                                                                  
780 10/09/2009 ~ 15:53:04 ~ Successful PWA measurement for Patient :330, Measurement :10/09/2009 3:53:03 PM, DataRevision :130 , CaptureTime 00:00:13                                                                                          
781 10/09/2009 ~ 16:36:21 ~ Successful PWA measurement for Patient :330, Measurement :10/09/2009 4:36:20 PM, DataRevision :130 , CaptureTime 00:00:13                                                                                          
782 10/09/2009 ~ 16:42:39 ~ SCOR-CvMS 9 (Clinical) End - FDS 76092000, DBS 41416,  TPM 515564, APM 176424, ML 65   00050                                                                                                                       
783 10/09/2009 ~ 16:48:37 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76092016, DBS 41416,  TPM 515564, APM 64512, ML 87   00050                                                                                                                      
784 10/09/2009 ~ 16:52:21 ~ Deleted Patient 330                                                                                                                                                                                                
785 10/09/2009 ~ 16:53:23 ~ SCOR-CvMS 9 (Clinical) End - FDS 76092016, DBS 41416,  TPM 515564, APM 142316, ML 72   00050                                                                                                                       
786 11/09/2009 ~ 08:15:36 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76088464, DBS 41416,  TPM 515564, APM 121916, ML 76   00050                                                                                                                     
787 11/09/2009 ~ 08:16:39 ~ SCOR-CvMS 9 (Clinical) End - FDS 76088464, DBS 41416,  TPM 515564, APM 103612, ML 79   00050                                                                                                                       
788 11/09/2009 ~ 08:16:55 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76088464, DBS 41416,  TPM 515564, APM 111204, ML 78   00050                                                                                                                     
789 11/09/2009 ~ 08:17:59 ~ SCOR-CvMS 9 (Clinical) End - FDS 76088464, DBS 41416,  TPM 515564, APM 99060, ML 80   00050                                                                                                                        
790 11/09/2009 ~ 08:18:05 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76088464, DBS 41416,  TPM 515564, APM 108280, ML 78   00050                                                                                                                     
791 11/09/2009 ~ 08:19:58 ~ SCOR-CvMS 9 (Clinical) End - FDS 76088464, DBS 41416,  TPM 515564, APM 98656, ML 80   00050                                                                                                                        
792 11/09/2009 ~ 08:49:33 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76088464, DBS 41416,  TPM 515564, APM 131588, ML 74   00050                                                                                                                     
793 11/09/2009 ~ 08:50:40 ~ Added Patient 330 EM3 - [PVH]                                                                                                                                                                                      
794 11/09/2009 ~ 08:56:02 ~ Successful PWA measurement for Patient :330, Measurement :11/09/2009 8:56:01 AM, DataRevision :130 , CaptureTime 00:00:13                                                                                          
795 11/09/2009 ~ 08:58:40 ~ Successful PWA measurement for Patient :330, Measurement :11/09/2009 8:58:39 AM, DataRevision :130 , CaptureTime 00:00:13                                                                                          
796 11/09/2009 ~ 09:45:26 ~ Database Manager - Selected TEST Patients = 473                                                                                                                                                                    
797 11/09/2009 ~ 09:47:38 ~ SCOR-CvMS 9 (Clinical) End - FDS 76088456, DBS 41424,  TPM 515564, APM 208884, ML 59   00050                                                                                                                       
798 11/09/2009 ~ 15:58:20 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76078864, DBS 41424,  TPM 515564, APM 104908, ML 79   00050                                                                                                                     
799 11/09/2009 ~ 16:15:46 ~ SCOR-CvMS 9 (Clinical) End - FDS 76078864, DBS 41424,  TPM 515564, APM 83984, ML 83   00050                                                                                                                        
800 14/09/2009 ~ 09:45:39 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76078960, DBS 41424,  TPM 515564, APM 78276, ML 84   00050                                                                                                                      
801 14/09/2009 ~ 10:34:53 ~ SCOR-CvMS 9 (Clinical) End - FDS 76078256, DBS 41424,  TPM 515564, APM 123628, ML 76   00050                                                                                                                       
802 14/09/2009 ~ 10:50:50 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76078088, DBS 41424,  TPM 515564, APM 170156, ML 66   00050                                                                                                                     
803 14/09/2009 ~ 11:26:00 ~ Added Patient 331                                                                                                                                                                                                  
804 14/09/2009 ~ 11:33:13 ~ SCOR-CvMS 9 (Clinical) End - FDS 76056592, DBS 41424,  TPM 515564, APM 115348, ML 77   00050                                                                                                                       
805 14/09/2009 ~ 11:51:55 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76054792, DBS 41424,  TPM 515564, APM 104024, ML 79   00050                                                                                                                     
806 14/09/2009 ~ 12:00:21 ~ SCOR-CvMS 9 (Clinical) End - FDS 76054784, DBS 41424,  TPM 515564, APM 88112, ML 82   00050                                                                                                                        
807 14/09/2009 ~ 13:56:08 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76046560, DBS 41424,  TPM 515564, APM 138216, ML 73   00050                                                                                                                     
808 14/09/2009 ~ 14:11:34 ~ SCOR-CvMS 9 (Clinical) End - FDS 76046016, DBS 41424,  TPM 515564, APM 95980, ML 81   00050                                                                                                                        
809 14/09/2009 ~ 14:13:09 ~ SCOR-CvMS 9 Start - FDS 76046016, DBS 41424,  TPM 515564, APM 121284, ML 76   00050                                                                                                                                
810 14/09/2009 ~ 14:22:50 ~ SCOR-CvMS 9 End - FDS 76045616, DBS 41424,  TPM 515564, APM 112524, ML 78   00050                                                                                                                                  
811 14/09/2009 ~ 14:24:16 ~ SCOR-CvMS 9 Start - FDS 76045616, DBS 41424,  TPM 515564, APM 130308, ML 74   00050                                                                                                                                
812 14/09/2009 ~ 14:26:16 ~ SCOR-CvMS 9 End - FDS 76045616, DBS 41424,  TPM 515564, APM 112508, ML 78   00050                                                                                                                                  
813 14/09/2009 ~ 14:33:56 ~ SCOR-CvMS 9 Start - FDS 76045496, DBS 41424,  TPM 515564, APM 128744, ML 75   00050                                                                                                                                
814 14/09/2009 ~ 14:36:40 ~ SCOR-CvMS 9 End - FDS 76045496, DBS 41424,  TPM 515564, APM 106640, ML 79   00050                                                                                                                                  
815 14/09/2009 ~ 14:40:26 ~ SCOR-CvMS 9 Start - FDS 76045488, DBS 41424,  TPM 515564, APM 125492, ML 75   00050                                                                                                                                
816 14/09/2009 ~ 14:44:38 ~ SCOR-CvMS 9 End - FDS 76045488, DBS 41424,  TPM 515564, APM 105860, ML 79   00050                                                                                                                                  
817 14/09/2009 ~ 14:57:36 ~ SCOR-CvMS 9 Start - FDS 76045048, DBS 41424,  TPM 515564, APM 123172, ML 76   00050                                                                                                                                
818 14/09/2009 ~ 15:12:33 ~ SCOR-CvMS 9 End - FDS 76044320, DBS 41424,  TPM 515564, APM 101560, ML 80   00050                                                                                                                                  
819 14/09/2009 ~ 15:17:07 ~ SCOR-CvMS 9 Start - FDS 76044200, DBS 41424,  TPM 515564, APM 78340, ML 84   00050                                                                                                                                 
820 14/09/2009 ~ 15:17:38 ~ SCOR-CvMS 9 End - FDS 76044192, DBS 41424,  TPM 515564, APM 110312, ML 78   00050                                                                                                                                  
821 14/09/2009 ~ 15:20:00 ~ SCOR-CvMS 9 Start - FDS 76044192, DBS 41424,  TPM 515564, APM 128988, ML 74   00050                                                                                                                                
822 14/09/2009 ~ 15:28:03 ~ SCOR-CvMS 9 End - FDS 76044184, DBS 41424,  TPM 515564, APM 110908, ML 78   00050                                                                                                                                  
823 14/09/2009 ~ 15:30:34 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76044176, DBS 41424,  TPM 515564, APM 126388, ML 75   00050                                                                                                                     
824 14/09/2009 ~ 15:35:49 ~ SCOR-CvMS 9 (Clinical) End - FDS 76043816, DBS 41424,  TPM 515564, APM 125364, ML 75   00050                                                                                                                       
825 14/09/2009 ~ 15:37:09 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76043816, DBS 41424,  TPM 515564, APM 134936, ML 73   00050                                                                                                                     
826 14/09/2009 ~ 15:46:42 ~ SCOR-CvMS 9 (Clinical) End - FDS 76043696, DBS 41424,  TPM 515564, APM 115512, ML 77   00050                                                                                                                       
827 14/09/2009 ~ 15:51:02 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76043696, DBS 41424,  TPM 515564, APM 60660, ML 88   00050                                                                                                                      
828 14/09/2009 ~ 16:08:34 ~ SCOR-CvMS 9 (Clinical) End - FDS 76043320, DBS 41424,  TPM 515564, APM 146784, ML 71   00050                                                                                                                       
829 14/09/2009 ~ 16:09:37 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76043320, DBS 41424,  TPM 515564, APM 108564, ML 78   00050                                                                                                                     
830 14/09/2009 ~ 16:11:17 ~ SCOR-CvMS 9 (Clinical) End - FDS 76043320, DBS 41424,  TPM 515564, APM 73984, ML 85   00050                                                                                                                        
831 14/09/2009 ~ 16:12:22 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76043320, DBS 41424,  TPM 515564, APM 90356, ML 82   00050                                                                                                                      
832 14/09/2009 ~ 16:12:44 ~ SCOR-CvMS 9 (Clinical) End - FDS 76043320, DBS 41424,  TPM 515564, APM 158620, ML 69   00050                                                                                                                       
833 14/09/2009 ~ 16:14:15 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76043320, DBS 41424,  TPM 515564, APM 162408, ML 68   00050                                                                                                                     
834 14/09/2009 ~ 16:15:13 ~ SCOR-CvMS 9 (Clinical) End - FDS 76043320, DBS 41424,  TPM 515564, APM 144052, ML 72   00050                                                                                                                       
835 14/09/2009 ~ 16:15:35 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76043320, DBS 41424,  TPM 515564, APM 159092, ML 69   00050                                                                                                                     
836 14/09/2009 ~ 16:16:58 ~ Successful PWA measurement for Patient :313, Measurement :14/09/2009 4:16:56 PM, DataRevision :130 , CaptureTime 00:00:13                                                                                          
837 14/09/2009 ~ 16:20:42 ~ SCOR-CvMS 9 (Clinical) End - FDS 76041232, DBS 41428,  TPM 515564, APM 106812, ML 79   00050                                                                                                                       
838 15/09/2009 ~ 10:12:56 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76038952, DBS 41428,  TPM 515564, APM 144948, ML 71   00050                                                                                                                     
839 15/09/2009 ~ 10:14:25 ~ SCOR-CvMS 9 (Clinical) End - FDS 76038952, DBS 41428,  TPM 515564, APM 128720, ML 75   00050                                                                                                                       
840 15/09/2009 ~ 10:42:52 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76037312, DBS 41428,  TPM 515564, APM 37012, ML 92   00050                                                                                                                      
841 15/09/2009 ~ 10:44:41 ~ SCOR-CvMS 9 (Clinical) End - FDS 76037304, DBS 41428,  TPM 515564, APM 95384, ML 81   00050                                                                                                                        
842 15/09/2009 ~ 10:45:35 ~ SCOR-CvMS 9 (Clinical) Start - FDS 76037152, DBS 41428,  TPM 515564, APM 129732, ML 74   00050                                                                                                                     
843 15/09/2009 ~ 10:46:32 ~ SCOR-CvMS 9 (Clinical) End - FDS 76037152, DBS 41428,  TPM 515564, APM 120372, ML 76   00050                                                                                                                       
